,Station,Missing Ratio
0,station_1,0.02026255707762557
1,station_2,0.03350456621004566
2,station_3,0.010787671232876713
3,station_4,0.02562785388127854
4,station_5,0.015582191780821918
5,station_6,0.04257990867579909
6,station_7,0.02711187214611872
7,station_8,0.02317351598173516
8,station_9,0.014897260273972602
9,station_10,0.024200913242009132
10,station_11,0.01615296803652968
11,station_12,0.018378995433789954
12,station_13,0.015353881278538813
13,station_14,0.017865296803652966
14,station_15,0.020376712328767123
15,station_16,0.02471461187214612
16,station_17,0.01603881278538813
17,station_18,0.031621004566210045
18,station_19,0.030993150684931508
19,station_20,0.018550228310502282
20,station_21,0.017579908675799085
21,station_22,0.02454337899543379
